model,query_id,query,language,category,query_type,precision_at_1,precision_at_5,hit_at_1,hit_at_5,recall_at_1,recall_at_5,recall_at_10,mrr,ndcg_at_10,embedding_ms,search_ms,total_ms
current,en_001,dog,en,animal,simple,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.8772153153380493,7.266200002050027,84.49480000126641,91.91720000308123
current,es_001,perro,es,animal,simple,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,14.830599997367244,43.58420000062324,58.550799996737624
current,en_002,greyhound dog,en,animal,specific,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.9197207891481876,14.905799998814473,41.0353999977815,56.01069999829633
current,es_002,galgo,es,animal,specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.436900000058813,44.91240000061225,55.40610000025481
current,en_003,goat,en,animal,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.833899999241112,14.35019999917131,22.26130000053672
current,es_003,cabra,es,animal,simple,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.955299999390263,9.27899999805959,16.308800000842893
current,en_004,horse,en,animal,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.086900001013419,20.281500001146924,27.424200001405552
current,es_004,caballo,es,animal,simple,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.175899997993838,8.187899999029469,13.441800001601223
current,en_005,duck,en,animal,simple,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.058999999368098,14.494600000034552,20.654699997976422
current,es_005,pato,es,animal,simple,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.4141000004601665,10.992500003339956,18.467100002453662
current,en_006,frog,en,animal,simple,0.0,0.2,0.0,1.0,0.0,1.0,1.0,0.5,0.6309297535714575,9.455600000364939,41.522299998177914,51.19080000076792
current,es_006,rana,es,animal,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.06180000191671,58.596399998350535,79.79970000087633
