model,query_id,query,language,category,query_type,precision_at_1,precision_at_5,hit_at_1,hit_at_5,recall_at_1,recall_at_5,recall_at_10,mrr,ndcg_at_10,embedding_ms,search_ms,total_ms
current,en_001,dog,en,animal,simple,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,9.557500015944242,37.40289993584156,47.03560005873442
current,es_001,perro,es,animal,simple,1.0,0.8,1.0,1.0,0.5,0.5,1.0,1.0,0.8175295903539445,14.201699988916516,11.08389999717474,25.35449992865324
current,en_002,greyhound dog,en,animal,specific,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,11.446299962699413,8.567799930460751,20.06509993225336
current,es_002,galgo,es,animal,specific,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,8.001800044439733,34.57779996097088,42.63879999052733
current,en_003,goat,en,animal,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.959199940785766,10.99500001873821,31.013599946163595
current,es_003,cabra,es,animal,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.629299980588257,28.71220000088215,38.410999928601086
current,en_004,horse,en,animal,simple,0.0,0.8,0.0,1.0,0.0,1.0,1.0,0.5,0.6309297535714575,12.36270007211715,8.548400015570223,20.97670000512153
current,es_004,caballo,es,animal,simple,0.0,0.8,0.0,1.0,0.0,1.0,1.0,0.5,0.6309297535714575,8.416399941779673,33.874399960041046,42.344999965280294
current,en_005,duck,en,animal,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.335500002838671,39.59719999693334,49.9845000449568
current,es_005,pato,es,animal,simple,0.0,0.2,0.0,1.0,0.0,1.0,1.0,0.25,0.43067655807339306,9.819100028835237,25.966400047764182,35.83320009056479
current,en_006,frog,en,animal,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.882499950937927,23.669500020332634,31.614899984560907
current,es_006,rana,es,animal,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.48809993173927,38.364000036381185,49.91639999207109
current,en_007,giraffe,en,animal,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.081799938343465,28.256800025701523,43.39399992022663
current,es_007,jirafa,es,animal,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.586799915879965,32.1807999862358,44.81869994197041
current,en_008,gorilla,en,animal,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.438299996778369,35.55999998934567,49.065600032918155
current,es_008,gorila,es,animal,simple,0.0,0.4,0.0,1.0,0.0,1.0,1.0,0.25,0.43067655807339306,11.354900081641972,36.63460002280772,48.04859997238964
current,en_009,goldfish,en,animal,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.697899968363345,32.76900004129857,43.517100042663515
current,es_009,pez dorado,es,animal,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.64600003603846,18.923899973742664,51.682100049220026
current,en_010,camel,en,animal,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.567700007930398,15.100599965080619,32.717499998398125
current,es_010,camello,es,animal,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.28349993657321,40.80529999919236,80.19249991048127
current,en_011,grapes,en,food,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.121199993416667,52.0562999881804,79.33850004337728
current,es_011,uvas,es,food,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.922800029627979,12.216800008900464,25.20949998870492
current,en_012,hamburger,en,food,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.775899980217218,35.31820001080632,46.14880005829036
current,es_012,hamburguesa,es,food,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.010999995283782,18.261400051414967,48.376800026744604
current,en_013,hot dog,en,food,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.550300077535212,41.4217000361532,51.02640006225556
current,es_013,hot dog,es,food,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.70029994379729,19.32449999731034,34.08609994221479
current,en_014,coffee mug,en,object,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.154500026255846,10.671600000932813,25.90460004284978
current,es_014,taza de cafe,es,object,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.253699919208884,9.282199898734689,23.60640000551939
current,en_015,coin,en,object,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.86459995713085,40.538699948228896,51.467099925503135
current,es_015,moneda,es,object,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.363700093701482,38.559500011615455,66.04539998807013
current,en_016,diamond ring,en,object,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.847399977967143,38.58689998742193,62.521399930119514
current,es_016,anillo de diamante,es,object,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.197399934753776,27.130399947054684,43.40540000703186
current,en_017,computer monitor,en,object,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.654800024814904,28.765599941834807,52.50560003332794
current,es_017,monitor de computadora,es,object,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.37030001822859,30.77159996610135,48.24879998341203
current,en_018,computer keyboard,en,object,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.46280000731349,27.22020004875958,51.766399992629886
current,es_018,teclado de computadora,es,object,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.925599969923496,26.446500094607472,52.521799923852086
current,en_019,guitar pick,en,object,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.484499999321997,12.542900047264993,26.134799933061004
current,es_019,uña de guitarra,es,object,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.641699984669685,37.7944998908788,50.498399999924004
current,en_020,calculator,en,object,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.74199995957315,22.98850007355213,38.7819999596104
current,es_020,calculadora,es,object,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.36670002155006,21.166599937714636,46.64270009379834
current,en_021,cannon,en,object,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.989699992351234,18.55860010255128,44.6483000414446
current,es_021,cañon,es,object,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.606399953365326,32.877299934625626,50.63880002126098
current,en_022,canoe,en,object,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.99240002501756,10.542499949224293,24.59180005826056
current,es_022,canoa,es,object,simple,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.49889997113496,36.42110002692789,51.99970002286136
current,en_023,eiffel tower,en,landmark,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.709399979561567,31.558500020764768,60.3395999642089
current,es_023,torre eiffel,es,landmark,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.81559994723648,30.775499995797873,56.70199997257441
current,en_024,golden gate bridge,en,landmark,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14089990593493,29.90339999087155,52.14789998717606
current,es_024,puente golden gate,es,landmark,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.099599893204868,31.841800082474947,53.007999900728464
current,en_025,fire truck,en,vehicle,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.68130003195256,9.925600024871528,24.67920002527535
current,es_025,camion de bomberos,es,vehicle,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.454000030644238,36.959399934858084,58.56220005080104
